Nodes,Repetition,System Time,Object at Room,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (MCTS-UCT),Traveled Distance (MCTS-UCT),Rooms Explored (ExpectedDistanceFixed),Traveled Distance (ExpectedDistanceFixed),Rooms Explored (ExpectedDistanceMurrieta),Traveled Distance (ExpectedDistanceMurrieta),Rooms Explored (ExpectedDistanceSimple),Traveled Distance (ExpectedDistanceSimple)
50,21,1416461482,34,0,35,49919.3,35,49919.3,35,49919.3,35,49919.3,15,20764.8,7,6249.46,19,26474.7,25,27547.8,4,3381.88,12,11318.1,8,7181.97
50,22,1416461482,36,0,37,52205.1,37,52205.1,37,52205.1,37,52205.1,24,34887.6,24,23316.5,29,42148.5,29,32536.5,30,42838.1,40,40834.8,20,20131
50,23,1416461482,4,0,5,4409.55,5,4409.55,5,4409.55,5,4409.55,38,56709.6,10,9083.7,8,11028.8,12,12868.3,40,59783,46,47934.6,36,39397.3
50,24,1416461482,14,0,15,18455.7,15,18455.7,15,18455.7,15,18455.7,37,55190.7,25,24397.8,4,5278.51,36,42117.7,29,42015.1,41,41916.1,38,41684.1
50,25,1416461482,36,0,37,52205.1,37,52205.1,37,52205.1,37,52205.1,24,34887.6,24,23316.5,29,42148.5,29,32536.5,30,42838.1,40,40834.8,20,20131
50,26,1416461482,3,0,4,3425.85,4,3425.85,4,3425.85,4,3425.85,16,22022.5,2,1087.07,13,18270.4,7,6612.05,5,4639.56,27,26115.7,4,3480.81
50,27,1416461482,22,0,23,30790.8,23,30790.8,23,30790.8,23,30790.8,6,8444.72,6,5298.36,46,67436.4,9,8697.79,17,22336.9,13,12287.5,7,6230.88
50,28,1416461482,33,0,34,48509.1,34,48509.1,34,48509.1,34,48509.1,2,1655.58,49,51409.9,37,54099.8,10,9559.29,15,19377.1,17,15996.4,6,5245.71
50,29,1416461482,22,0,23,30790.8,23,30790.8,23,30790.8,23,30790.8,6,8444.72,6,5298.36,46,67436.4,9,8697.79,17,22336.9,13,12287.5,7,6230.88
50,30,1416461482,5,0,6,5308.09,6,5308.09,6,5308.09,6,5308.09,4,5170.22,21,20601.7,43,63016.3,16,17422,10,12227.7,8,7330.4,16,15657.6
